id;nom;description;date_debut;date_fin
1;transitional Intelligent Lake;Extended Kentucky generating;2018-05-01;2018-05-01
2;Moldovan Leu Producer;Associate benchmark;2018-04-30;2018-04-30
3;card Home;invoice Rustic Plastic Pants;2018-04-30;2018-05-01
4;Practical Wooden Chair;Research;2018-05-01;2018-04-30
5;Guarani Jordan;Isle of Man Ergonomic;2018-05-01;2018-04-30
6;AGP;Executive primary empowering;2018-04-30;2018-05-01
7;Shoes deploy invoice;deposit Assurance fuchsia;2018-05-01;2018-05-01
8;benchmark ubiquitous quantifying;card;2018-05-01;2018-05-01
9;New Zealand Dollar EXE;navigate Optimization Nepal;2018-05-01;2018-05-01
10;input;digital Architect;2018-04-30;2018-05-01
