id;code_equipe;nom_equipe;rang_fifa;ecusson;ecusson_content_type
1;proactive synthesize;Engineer withdrawal;67649;../fake-data/blob/hipster.png;image/png
2;Jamaican Dollar quantifying;alarm;62968;../fake-data/blob/hipster.png;image/png
3;Applications;Tasty Cotton Sausages Human Ball;42194;../fake-data/blob/hipster.png;image/png
4;compressing Consultant Ergonomic Wooden Ball;Liaison;51977;../fake-data/blob/hipster.png;image/png
5;harness;quantifying mobile matrix;9541;../fake-data/blob/hipster.png;image/png
6;array Accountability;New Jersey;8077;../fake-data/blob/hipster.png;image/png
7;Concrete;Customer quantifying;80337;../fake-data/blob/hipster.png;image/png
8;navigating Alaska mindshare;Incredible Concrete Keyboard SAS Home Loan Account;4845;../fake-data/blob/hipster.png;image/png
9;next generation;Bedfordshire Books Wooden;99683;../fake-data/blob/hipster.png;image/png
10;Chicken;connecting;68839;../fake-data/blob/hipster.png;image/png
