id;date;statut;code;score_equipe_domicile;score_equipe_visiteur;phase_competition;groupe
1;2018-05-01T00:29:16;PAS_DEMARRE;Engineer Movies;18386;55969;HUITIEME;info-mediaries Accountability Agent
2;2018-05-01T00:42:21;TERMINE;Fish lavender Tuna;454;45504;FINAL;Avon morph Home Loan Account
3;2018-05-01T09:28:48;PAS_DEMARRE;Generic Steel Table;53349;16314;QUART;invoice Outdoors
4;2018-05-01T02:26:45;PAS_DEMARRE;secured line Liberia;35052;68714;FINAL;Rupiah bypassing eco-centric
5;2018-04-30T11:13:25;EN_COURS;withdrawal Public-key transmit;23153;94104;QUART;microchip
6;2018-05-01T03:56:44;PAS_DEMARRE;Berkshire;96807;85705;FINAL;Chair Metrics
7;2018-05-01T07:47:47;PAS_DEMARRE;payment regional;43970;19940;QUART;invoice
8;2018-04-30T09:44:34;EN_COURS;Taiwan Spain Plains;18691;32477;HUITIEME;action-items
9;2018-04-30T16:23:05;TERMINE;alarm withdrawal alarm;9636;47557;FINAL;Florida Ergonomic Rubber Sausages Clothing
10;2018-05-01T04:01:15;TERMINE;Home Loan Account Unbranded Keyboard;82312;92730;GROUPE;Customer Cotton Savings Account
