id;nom;code_iso;drapeau;drapeau_content_type
1;Outdoors Multi-channelled;Cambridgeshire;../fake-data/blob/hipster.png;image/png
2;applications navigate;Metal Neck monitoring;../fake-data/blob/hipster.png;image/png
3;Concrete;copying context-sensitive connecting;../fake-data/blob/hipster.png;image/png
4;Ranch Dynamic;synthesizing Small Rubber Sausages transition;../fake-data/blob/hipster.png;image/png
5;RSS back up;Practical Personal Loan Account;../fake-data/blob/hipster.png;image/png
6;Engineer Lights Pennsylvania;bypassing Licensed Frozen Shirt;../fake-data/blob/hipster.png;image/png
7;Gourde US Dollar Re-contextualized Re-contextualized;Nebraska AGP;../fake-data/blob/hipster.png;image/png
8;Bolivar Fuerte;Credit Card Account;../fake-data/blob/hipster.png;image/png
9;circuit;Barbados Dollar;../fake-data/blob/hipster.png;image/png
10;Chips;superstructure;../fake-data/blob/hipster.png;image/png
